nohup: ignoring input

[------------------------------] 0/1071   0.00% | ok=0 | failed=0
[------------------------------] 1/1071   0.09% | ok=1 | failed=0
[------------------------------] 2/1071   0.19% | ok=2 | failed=0
[------------------------------] 3/1071   0.28% | ok=3 | failed=0
[------------------------------] 4/1071   0.37% | ok=4 | failed=0
[------------------------------] 5/1071   0.47% | ok=5 | failed=0
[------------------------------] 6/1071   0.56% | ok=6 | failed=0
[------------------------------] 7/1071   0.65% | ok=7 | failed=0
[------------------------------] 8/1071   0.75% | ok=8 | failed=0
[------------------------------] 9/1071   0.84% | ok=9 | failed=0
[------------------------------] 10/1071   0.93% | ok=10 | failed=0
[------------------------------] 11/1071   1.03% | ok=11 | failed=0
[------------------------------] 12/1071   1.12% | ok=12 | failed=0
[------------------------------] 13/1071   1.21% | ok=13 | failed=0
[------------------------------] 14/1071   1.31% | ok=14 | failed=0
[------------------------------] 15/1071   1.40% | ok=15 | failed=0
[------------------------------] 16/1071   1.49% | ok=16 | failed=0
[------------------------------] 17/1071   1.59% | ok=17 | failed=0
[------------------------------] 18/1071   1.68% | ok=18 | failed=0
[------------------------------] 19/1071   1.77% | ok=19 | failed=0
[------------------------------] 20/1071   1.87% | ok=20 | failed=0
[------------------------------] 21/1071   1.96% | ok=21 | failed=0
[------------------------------] 22/1071   2.05% | ok=22 | failed=0
[------------------------------] 23/1071   2.15% | ok=23 | failed=0
[------------------------------] 24/1071   2.24% | ok=24 | failed=0
[------------------------------] 25/1071   2.33% | ok=25 | failed=0
[------------------------------] 26/1071   2.43% | ok=26 | failed=0
[------------------------------] 27/1071   2.52% | ok=27 | failed=0
[------------------------------] 28/1071   2.61% | ok=28 | failed=0
[------------------------------] 29/1071   2.71% | ok=29 | failed=0
[------------------------------] 30/1071   2.80% | ok=30 | failed=0
[------------------------------] 31/1071   2.89% | ok=31 | failed=0
[------------------------------] 32/1071   2.99% | ok=32 | failed=0
[------------------------------] 33/1071   3.08% | ok=33 | failed=0
[------------------------------] 34/1071   3.17% | ok=34 | failed=0
[------------------------------] 35/1071   3.27% | ok=35 | failed=0
[#-----------------------------] 36/1071   3.36% | ok=36 | failed=0
[#-----------------------------] 37/1071   3.45% | ok=37 | failed=0
[#-----------------------------] 38/1071   3.55% | ok=38 | failed=0
[#-----------------------------] 39/1071   3.64% | ok=39 | failed=0
[#-----------------------------] 40/1071   3.73% | ok=40 | failed=0
[#-----------------------------] 41/1071   3.83% | ok=41 | failed=0
[#-----------------------------] 42/1071   3.92% | ok=42 | failed=0
[#-----------------------------] 43/1071   4.01% | ok=43 | failed=0
[#-----------------------------] 44/1071   4.11% | ok=44 | failed=0
[#-----------------------------] 45/1071   4.20% | ok=45 | failed=0
[#-----------------------------] 46/1071   4.30% | ok=46 | failed=0
[#-----------------------------] 47/1071   4.39% | ok=47 | failed=0
[#-----------------------------] 48/1071   4.48% | ok=48 | failed=0
[#-----------------------------] 49/1071   4.58% | ok=49 | failed=0
[#-----------------------------] 50/1071   4.67% | ok=50 | failed=0
[#-----------------------------] 51/1071   4.76% | ok=51 | failed=0
[#-----------------------------] 52/1071   4.86% | ok=52 | failed=0
[#-----------------------------] 53/1071   4.95% | ok=53 | failed=0
[#-----------------------------] 54/1071   5.04% | ok=54 | failed=0
[#-----------------------------] 55/1071   5.14% | ok=55 | failed=0
[#-----------------------------] 56/1071   5.23% | ok=56 | failed=0
[#-----------------------------] 57/1071   5.32% | ok=57 | failed=0
[#-----------------------------] 58/1071   5.42% | ok=58 | failed=0
[#-----------------------------] 59/1071   5.51% | ok=59 | failed=0
[#-----------------------------] 60/1071   5.60% | ok=60 | failed=0
[#-----------------------------] 61/1071   5.70% | ok=61 | failed=0
[#-----------------------------] 62/1071   5.79% | ok=62 | failed=0
[#-----------------------------] 63/1071   5.88% | ok=63 | failed=0
[#-----------------------------] 64/1071   5.98% | ok=64 | failed=0
[#-----------------------------] 65/1071   6.07% | ok=65 | failed=0
[#-----------------------------] 66/1071   6.16% | ok=66 | failed=0
[#-----------------------------] 67/1071   6.26% | ok=67 | failed=0
[#-----------------------------] 68/1071   6.35% | ok=68 | failed=0
[#-----------------------------] 69/1071   6.44% | ok=69 | failed=0
[#-----------------------------] 70/1071   6.54% | ok=70 | failed=0
[#-----------------------------] 71/1071   6.63% | ok=71 | failed=0
[##----------------------------] 72/1071   6.72% | ok=72 | failed=0
[##----------------------------] 73/1071   6.82% | ok=73 | failed=0
[##----------------------------] 74/1071   6.91% | ok=74 | failed=0
[##----------------------------] 75/1071   7.00% | ok=75 | failed=0
